new_title,file_uri,archival_object,publish_link,xlink_actuate_attribute,xlink_show_attribute
,https://preservation-storage1.library.gwu.edu/Drobo5Volume1/nea1010/nea1010_s3_b3973_f13/Preservation%20Master/nea1010_s3_b3973_f13.mov,https://archivesspace.library.gwu.edu/resources/558#tree::archival_object_261996,FALSE,onLoad,new
,https://preservation-storage1.library.gwu.edu/Drobo5Volume1/nea1010/nea1010_s2_b4059_f10/Preservation%20Master/nea1010_s2_b4059_f10.mov,https://archivesspace.library.gwu.edu/resources/558#tree::archival_object_261778,FALSE,onLoad,new
,https://preservation-storage1.library.gwu.edu/Drobo5Volume1/nea1010/nea1010_s3_b4059_f4/Preservation%20Master/nea1010_s3_b4059_f4.mov,https://archivesspace.library.gwu.edu/resources/558#tree::archival_object_262165,FALSE,onLoad,new
