new_title,file_uri,archival_object,publish_link,xlink_actuate_attribute,xlink_show_attribute
"The Bulletin, 1937",https://preservation-storage1.library.gwu.edu/Drobo5Volume1/nea1007/BlackTeachersArchive_NEA1007_s01_b3045_f001_1937_v015_n04/,https://searcharchives.library.gwu.edu/repositories/2/archival_objects/248042,FALSE,onLoad,new
"The Bulletin, 1937",HARVARD RECORD?,,FALSE,onLoad,new
"The Bulletin, 1940",https://preservation-storage1.library.gwu.edu/Drobo5Volume1/nea1007/BlackTeachersArchive_NEA1007_s01_b3045_f001_1940_v017_n01/,,FALSE,onLoad,new
